Project,Analyzer,Direct Precision,Direct Recall,Direct F1,Transitive Precision,Transitive Recall,Transitive F1
alluxio,openrewrite,100,2.8,5.44,0,0,0
checkstyle,build-info-go,100,100,100,100,100,100
checkstyle,cdxgen,100,36.36,53.33,100,42.86,60
checkstyle,cyclonedx-maven-plugin,100,36.36,53.33,100,42.86,60
checkstyle,depscan,100,36.36,53.33,100,42.86,60
checkstyle,jbom,63.64,63.64,63.64,0,0,0
checkstyle,openrewrite,100,36.36,53.33,93.75,42.86,58.82
steady,build-info-go,94.29,42.31,58.41,100,76.03,86.38
steady,cdxgen,68.18,19.23,30,93.72,78.28,85.31
steady,cyclonedx-maven-plugin,77.14,34.62,47.79,96.62,74.91,84.39
steady,depscan,77.14,34.62,47.79,96.59,74.16,83.9
steady,jbom,7.1,30.77,11.54,0,0,0
steady,openrewrite,100,5.13,9.76,100,0.37,0.75
jHiccup,build-info-go,0,0,0,0,0,0
jHiccup,cdxgen,100,50,66.67,0,0,0
jHiccup,cyclonedx-maven-plugin,100,50,66.67,0,0,0
jHiccup,depscan,100,50,66.67,0,0,0
jHiccup,jbom,100,100,100,0,0,0
jHiccup,openrewrite,100,50,66.67,0,0,0
error-prone,build-info-go,100,27.87,43.59,60.53,86.79,71.32
error-prone,cdxgen,33.33,1.64,3.12,67.5,50.94,58.06
error-prone,cyclonedx-maven-plugin,77.78,11.48,20,65.71,43.4,52.27
error-prone,depscan,77.78,11.48,20,65.71,43.4,52.27
error-prone,jbom,49.3,57.38,53.03,0,0,0
error-prone,openrewrite,0,0,0,0,0,0
jooby,build-info-go,0,0,0,0,0,0
jooby,cdxgen,0,0,0,76.86,95.65,85.23
jooby,cyclonedx-maven-plugin,25,0.78,1.5,76.48,94.57,84.57
jooby,depscan,25,0.78,1.5,76.65,94.57,84.67
jooby,jbom,0,0,0,0,0,0
jooby,openrewrite,0,0,0,0,0,0
launch4j-maven-plugin,build-info-go,100,100,100,100,100,100
launch4j-maven-plugin,cdxgen,100,75,85.71,100,86,92.47
launch4j-maven-plugin,cyclonedx-maven-plugin,100,75,85.71,100,88,93.62
launch4j-maven-plugin,depscan,100,75,85.71,100,86,92.47
launch4j-maven-plugin,jbom,91.67,91.67,91.67,0,0,0
launch4j-maven-plugin,openrewrite,29.41,41.67,34.48,48.84,42,45.16
orika,build-info-go,100,76,86.36,96.55,93.33,94.92
orika,cdxgen,50,8,13.79,63.83,100,77.92
orika,cyclonedx-maven-plugin,50,8,13.79,63.83,100,77.92
orika,depscan,50,8,13.79,63.83,100,77.92
orika,jbom,8.11,12,9.68,0,0,0
orika,openrewrite,0,0,0,0,0,0
jacop,build-info-go,100,83.33,90.91,100,80,88.89
jacop,cdxgen,100,83.33,90.91,100,80,88.89
jacop,cyclonedx-maven-plugin,100,83.33,90.91,100,80,88.89
jacop,depscan,100,83.33,90.91,100,80,88.89
jacop,jbom,0,0,0,0,0,0
jacop,openrewrite,100,83.33,90.91,100,80,88.89
flink,build-info-go,0,0,0,0,0,0
flink,cdxgen,0,0,0,0,0,0
flink,cyclonedx-maven-plugin,0,0,0,0,0,0
flink,depscan,0,0,0,0,0,0
flink,jbom,0,0,0,0,0,0
flink,openrewrite,0,0,0,0,0,0
neo4j,build-info-go,0,0,0,0,0,0
neo4j,cdxgen,18.18,1.05,1.98,86.89,97.07,91.7
neo4j,cyclonedx-maven-plugin,86.15,29.32,43.75,85.38,79.12,82.13
neo4j,depscan,86.15,29.32,43.75,85.38,79.12,82.13
neo4j,jbom,0,0,0,0,0,0
neo4j,openrewrite,0,0,0,0,0,0
mybatis-3,build-info-go,100,100,100,100,100,100
mybatis-3,cdxgen,100,29.63,45.71,100,29.73,45.83
mybatis-3,cyclonedx-maven-plugin,100,29.63,45.71,100,32.43,48.98
mybatis-3,depscan,100,29.63,45.71,100,29.73,45.83
mybatis-3,jbom,100,100,100,0,0,0
mybatis-3,openrewrite,100,29.63,45.71,91.67,29.73,44.9
couchdb-lucene,build-info-go,100,92,95.83,100,100,100
couchdb-lucene,cdxgen,100,92,95.83,100,100,100
couchdb-lucene,cyclonedx-maven-plugin,100,92,95.83,100,100,100
couchdb-lucene,depscan,100,92,95.83,100,100,100
couchdb-lucene,jbom,48,48,48,0,0,0
couchdb-lucene,openrewrite,100,92,95.83,100,100,100
handlebars.java,build-info-go,0,0,0,0,0,0
handlebars.java,cdxgen,0,0,0,74.75,88.1,80.87
handlebars.java,cyclonedx-maven-plugin,40,11.11,17.39,77.89,88.1,82.68
handlebars.java,depscan,40,11.11,17.39,77.89,88.1,82.68
handlebars.java,jbom,11.58,30.56,16.79,0,0,0
handlebars.java,openrewrite,0,0,0,0,0,0
tika,build-info-go,0,0,0,0,0,0
tika,cdxgen,33.33,3.23,5.88,87.08,92.18,89.56
tika,cyclonedx-maven-plugin,33.33,3.23,5.88,87.1,92.36,89.66
tika,depscan,33.33,3.23,5.88,87.08,92.18,89.56
tika,jbom,0.8,2.15,1.17,17.5,1.24,2.32
tika,openrewrite,0,0,0,0,0,0
